0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1000,1000
1000,1000
1000,-1000
1000,-1000
-1000,-1000
-1000,-1000
-1000,1000
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-453,-890
-548,-835
-636,-771
-716,-697
-787,-615
-850,-525
-902,-430
-944,-329
-974,-224
-993,-117
-999,-8
-994,100
-978,208
-949,313
-909,415
-859,511
-798,602
-728,685
-649,760
-562,827
-469,883
-370,929
-267,964
-160,987
-52,999
56,998
165,986
374,927
473,881
566,824
652,758
731,682
801,598
861,508
911,411
951,309
979,204
995,96
999,-12
992,-121
973,-228
942,-333
900,-433
848,-529
785,-618
713,-700
632,-773
544,-838
450,-892
350,-936
246,-968
139,-989
30,-999
-78,-996
-186,-981
-292,-955
-394,-918
-453,-890
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1238,1513
1903,674
1903,674
1616,556
1499,499
1422,449
1355,391
1304,328
1285,297
1273,265
1262,188
1266,114
1276,51
1318,-110
1525,-778
1826,-1717
1826,-1717
-1646,-1558
-1646,-1558
-1756,-1263
-1810,-1089
-1866,-827
-1893,-606
-1903,-383
-1899,-158
-1882,66
-1854,291
-1817,514
-1772,736
-1661,1230
-1627,1453
-1589,1717
-1589,1717
-1356,1632
-1206,1566
-1067,1491
-790,1322
-636,1229
-516,1167
-393,1113
-266,1065
-137,1024
-7,991
124,966
257,948
418,938
530,942
608,957
685,985
762,1027
824,1075
915,1157
1047,1295
1238,1513
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-2993,1497
-2731,1471
-2499,1431
-2169,1360
-1951,1301
-1735,1232
-1511,1146
-1279,1045
-1051,935
-716,759
-470,617
-185,431
-41,334
104,243
249,163
394,99
537,56
679,41
827,60
961,107
2993,858
2993,858
2900,142
2900,142
-1530,-1497
-1530,-1497
-1646,-1373
-1759,-1245
-1927,-1039
-2039,-889
-2143,-734
-2241,-574
-2333,-410
-2418,-243
-2497,-72
-2571,100
-2638,275
-2752,611
-2869,1019
-2993,1497
